,Implementation,Solver,Wall-clock time (s),Exploitability
0,Sequence-form,Ours (parallelized),0.04907488822937012,0.07469135802469133
1,Sequence-form,Ours (parallelized),0.068603515625,0.15237200679872984
2,Sequence-form,Ours (parallelized),0.1073141098022461,0.14241951251579454
3,Sequence-form,Ours (parallelized),0.18474316596984863,0.06943186858919098
4,Sequence-form,Ours (parallelized),0.3395700454711914,0.04155395772682602
5,Sequence-form,Ours (parallelized),0.650747537612915,0.021915434740970408
6,Sequence-form,Ours (parallelized),1.2698335647583008,0.012637573387841758
7,Sequence-form,Ours (parallelized),2.5245566368103027,0.007323585873373465
8,Sequence-form,Ours (parallelized),4.991200923919678,0.004166328431272874
9,Sequence-form,Ours (parallelized),9.982806921005249,0.002219977600655414
10,Sequence-form,Ours (parallelized),19.943928480148315,0.0012384407241719225
11,Sequence-form,Ours (parallelized),39.94627404212952,0.0007228048421519207
12,Sequence-form,Ours (parallelized),80.53839492797852,0.0004136812057972273
13,Sequence-form,Ours (parallelized),162.9332983493805,0.0002305025487339893
14,Sequence-form,Ours (parallelized),327.3473627567291,0.0001308762100578932
15,Sequence-form,Ours (parallelized),655.9583678245544,7.367145733609302e-05
16,Sequence-form,Ours (parallelized),1000.0162689685822,5.27502789497954e-05
17,Sequence-form,Ours (unparallelized),16.481595516204834,0.07469135802469115
18,Sequence-form,Ours (unparallelized),33.04801559448242,0.15237200679873086
19,Sequence-form,Ours (unparallelized),66.20326638221741,0.1424195125157966
20,Sequence-form,Ours (unparallelized),132.15016961097717,0.06943186858919691
21,Sequence-form,Ours (unparallelized),264.79277634620667,0.041553957221285534
22,Sequence-form,Ours (unparallelized),545.058952331543,0.022035641345645222
23,Sequence-form,Ours (unparallelized),1006.2619338035583,0.013677251499773443
24,Classical,OpenSpiel (C++),110.33067488670349,0.07469135802469139
25,Classical,OpenSpiel (C++),154.53553247451782,0.2810904458307188
26,Classical,OpenSpiel (C++),321.7219650745392,0.17680285434118087
27,Classical,OpenSpiel (C++),681.3972721099854,0.11040519751218571
28,Classical,OpenSpiel (C++),1076.116482257843,0.08956462618990631
29,Classical,OpenSpiel (Python),778.7036933898926,0.07469135802469139
30,Classical,OpenSpiel (Python),1091.4448640346527,0.2810904458307188
31,Classical,OpenSpiel (Python),2244.012225627899,0.17680285434118087
32,Classical,OpenSpiel (Python),4729.613108158112,0.11040519751218571
