,Implementation,Solver,Wall-clock time (s),Exploitability
0,Sequence-form,Ours (parallelized),0.07201290130615234,0.2857142857142857
1,Sequence-form,Ours (parallelized),0.09295845031738281,0.4384920634920635
2,Sequence-form,Ours (parallelized),0.134779691696167,0.31866351772229773
3,Sequence-form,Ours (parallelized),0.21746301651000977,0.20050868633179236
4,Sequence-form,Ours (parallelized),0.38427090644836426,0.11765993128323171
5,Sequence-form,Ours (parallelized),0.7174851894378662,0.06298809232244452
6,Sequence-form,Ours (parallelized),1.405470848083496,0.03131337409346414
7,Sequence-form,Ours (parallelized),2.7391998767852783,0.015605686893965576
8,Sequence-form,Ours (parallelized),5.431401014328003,0.008672826915737154
9,Sequence-form,Ours (parallelized),10.875259399414062,0.004735398456456347
10,Sequence-form,Ours (parallelized),21.63780665397644,0.002614256733317208
11,Sequence-form,Ours (parallelized),43.25644135475159,0.0014539584650691481
12,Sequence-form,Ours (parallelized),86.57066774368286,0.000811126018367414
13,Sequence-form,Ours (parallelized),173.44291949272156,0.0004663253824793434
14,Sequence-form,Ours (parallelized),348.83083724975586,0.00027178172400063594
15,Sequence-form,Ours (parallelized),697.1779453754425,0.00016113607829824211
16,Sequence-form,Ours (parallelized),1000.0098702907562,0.00012119773088094254
17,Sequence-form,Ours (unparallelized),10.890271425247192,0.2857142857142857
18,Sequence-form,Ours (unparallelized),21.82630181312561,0.4384920634920635
19,Sequence-form,Ours (unparallelized),43.331029415130615,0.31866351772229773
20,Sequence-form,Ours (unparallelized),87.05263686180115,0.2005086863352412
21,Sequence-form,Ours (unparallelized),174.49161982536316,0.11729727936908405
22,Sequence-form,Ours (unparallelized),349.4942181110382,0.0619103494312515
23,Sequence-form,Ours (unparallelized),699.8438079357147,0.031190945702247702
24,Sequence-form,Ours (unparallelized),1006.0678462982178,0.02142168987774578
25,Classical,OpenSpiel (C++),6.318268060684204,0.2857142857142857
26,Classical,OpenSpiel (C++),8.617146968841553,0.5919312169312171
27,Classical,OpenSpiel (C++),17.416441202163696,0.34666155809718635
28,Classical,OpenSpiel (C++),37.81709003448486,0.19186471375337394
29,Classical,OpenSpiel (C++),78.47383618354797,0.1327240913802997
30,Classical,OpenSpiel (C++),162.60538840293884,0.07873440112086413
31,Classical,OpenSpiel (C++),334.75067138671875,0.032089289080007154
32,Classical,OpenSpiel (C++),683.2453463077545,0.017579422287929358
33,Classical,OpenSpiel (C++),1001.8163838386536,0.013212247293010196
34,Classical,OpenSpiel (Python),38.98374128341675,0.2857142857142857
35,Classical,OpenSpiel (Python),53.75177454948425,0.5919312169312171
36,Classical,OpenSpiel (Python),108.0820574760437,0.34666155809718635
37,Classical,OpenSpiel (Python),234.02501821517944,0.19186471375337394
38,Classical,OpenSpiel (Python),492.84929180145264,0.1327240913802997
39,Classical,OpenSpiel (Python),1000.2798368930817,0.08073504732290859
