,Implementation,Solver,Wall-clock time (s),Exploitability
0,Sequence-form,Ours (parallelized),0.07006168365478516,0.4453125
1,Sequence-form,Ours (parallelized),0.09027767181396484,0.267578125
2,Sequence-form,Ours (parallelized),0.13149166107177734,0.13389185855263158
3,Sequence-form,Ours (parallelized),0.2138829231262207,0.0669459292763158
4,Sequence-form,Ours (parallelized),0.38247132301330566,0.03347296463815794
5,Sequence-form,Ours (parallelized),0.719515323638916,0.016736482319078955
6,Sequence-form,Ours (parallelized),1.3903942108154297,0.008368241159539519
7,Sequence-form,Ours (parallelized),2.7342982292175293,0.004184120579769718
8,Sequence-form,Ours (parallelized),5.412715435028076,0.002092060289884956
9,Sequence-form,Ours (parallelized),10.768349170684814,0.0010460301449425335
10,Sequence-form,Ours (parallelized),21.492743968963623,0.0005230150724713223
11,Sequence-form,Ours (parallelized),42.790101051330566,0.00026150753623552236
12,Sequence-form,Ours (parallelized),85.02316427230835,0.00013075376811771955
13,Sequence-form,Ours (parallelized),170.17294001579285,6.537688405899855e-05
14,Sequence-form,Ours (parallelized),341.20954179763794,3.268844202930499e-05
15,Sequence-form,Ours (parallelized),683.4845719337463,1.6344221015457405e-05
16,Sequence-form,Ours (parallelized),1000.012748003006,1.1173017779086969e-05
17,Sequence-form,Ours (unparallelized),0.5465764999389648,0.4453125
18,Sequence-form,Ours (unparallelized),1.089395523071289,0.267578125
19,Sequence-form,Ours (unparallelized),2.1786489486694336,0.13389185855263158
20,Sequence-form,Ours (unparallelized),4.365537881851196,0.0669459292763158
21,Sequence-form,Ours (unparallelized),8.75864315032959,0.03347296463815794
22,Sequence-form,Ours (unparallelized),17.503037691116333,0.016736482319078955
23,Sequence-form,Ours (unparallelized),35.075639486312866,0.008368241159539519
24,Sequence-form,Ours (unparallelized),70.21409201622009,0.004184120579769718
25,Sequence-form,Ours (unparallelized),143.47975540161133,0.002092060289884956
26,Sequence-form,Ours (unparallelized),296.86192417144775,0.0010460301449425335
27,Sequence-form,Ours (unparallelized),596.6756541728973,0.0005230150724713223
28,Sequence-form,Ours (unparallelized),1000.2227618694305,0.00030656407224416427
29,Classical,OpenSpiel (C++),0.23440122604370117,0.4453125
30,Classical,OpenSpiel (C++),0.430675745010376,0.267578125
31,Classical,OpenSpiel (C++),0.7974412441253662,0.13389185855263158
32,Classical,OpenSpiel (C++),1.268341064453125,0.21578459587476193
33,Classical,OpenSpiel (C++),2.5248336791992188,0.11895528465144714
34,Classical,OpenSpiel (C++),5.201109886169434,0.06343208360715596
35,Classical,OpenSpiel (C++),10.669329643249512,0.04041600582596555
36,Classical,OpenSpiel (C++),21.68192458152771,0.019122359252972232
37,Classical,OpenSpiel (C++),44.14266920089722,0.009520596569175505
38,Classical,OpenSpiel (C++),88.40131115913391,0.005204532893742564
39,Classical,OpenSpiel (C++),176.15910506248474,0.0036441736225701904
40,Classical,OpenSpiel (C++),350.83667969703674,0.0017008032679338148
41,Classical,OpenSpiel (C++),694.2919270992279,0.001101860453610437
42,Classical,OpenSpiel (C++),1000.1393237113953,0.0008291311103428012
43,Classical,OpenSpiel (Python),1.3273546695709229,0.4453125
44,Classical,OpenSpiel (Python),2.55249285697937,0.267578125
45,Classical,OpenSpiel (Python),4.830224275588989,0.13389185855263158
46,Classical,OpenSpiel (Python),7.726965427398682,0.21578459587476193
47,Classical,OpenSpiel (Python),15.314055442810059,0.11895528465144714
48,Classical,OpenSpiel (Python),31.838292121887207,0.06343208360715596
49,Classical,OpenSpiel (Python),65.25747728347778,0.04041600582596555
50,Classical,OpenSpiel (Python),131.3317050933838,0.019122359252972232
51,Classical,OpenSpiel (Python),263.90098905563354,0.009520596569175505
52,Classical,OpenSpiel (Python),528.7877366542816,0.005204532893742564
53,Classical,OpenSpiel (Python),1000.3373029232025,0.003016944178096198
