,Implementation,Solver,Wall-clock time (s),Exploitability
0,Sequence-form,Ours (parallelized),0.052211761474609375,0.4583333333333333
1,Sequence-form,Ours (parallelized),0.06437015533447266,0.27083333333333337
2,Sequence-form,Ours (parallelized),0.08910536766052246,0.140625
3,Sequence-form,Ours (parallelized),0.1386396884918213,0.0904546396309833
4,Sequence-form,Ours (parallelized),0.2339189052581787,0.05051169055809114
5,Sequence-form,Ours (parallelized),0.4252738952636719,0.02404680216108422
6,Sequence-form,Ours (parallelized),0.807234525680542,0.014350716500797098
7,Sequence-form,Ours (parallelized),1.5828649997711182,0.006519359677160087
8,Sequence-form,Ours (parallelized),3.1043124198913574,0.0038495189232115035
9,Sequence-form,Ours (parallelized),6.1775062084198,0.0017836032669564794
10,Sequence-form,Ours (parallelized),12.3023042678833,0.000609695182791907
11,Sequence-form,Ours (parallelized),24.696200132369995,0.0005756514746729849
12,Sequence-form,Ours (parallelized),51.23264241218567,0.00032204853319052484
13,Sequence-form,Ours (parallelized),103.97074341773987,0.00013490398662481529
14,Sequence-form,Ours (parallelized),213.10193920135498,9.279956459137817e-05
15,Sequence-form,Ours (parallelized),415.8500428199768,4.9784207425213056e-05
16,Sequence-form,Ours (parallelized),824.0572679042816,2.545905943267257e-05
17,Sequence-form,Ours (parallelized),1000.007621049881,2.100704071328341e-05
18,Sequence-form,Ours (unparallelized),0.003350496292114258,0.4583333333333333
19,Sequence-form,Ours (unparallelized),0.004089832305908203,0.27083333333333337
20,Sequence-form,Ours (unparallelized),0.005507946014404297,0.140625
21,Sequence-form,Ours (unparallelized),0.008307695388793945,0.0904546396309833
22,Sequence-form,Ours (unparallelized),0.013913631439208984,0.05051169055809113
23,Sequence-form,Ours (unparallelized),0.025029420852661133,0.02404680216108425
24,Sequence-form,Ours (unparallelized),0.04734468460083008,0.014350716500797167
25,Sequence-form,Ours (unparallelized),0.09211039543151855,0.00651935967716015
26,Sequence-form,Ours (unparallelized),0.18180060386657715,0.003849518923211795
27,Sequence-form,Ours (unparallelized),0.3615388870239258,0.0017836032669565488
28,Sequence-form,Ours (unparallelized),0.7224595546722412,0.0006096951827919486
29,Sequence-form,Ours (unparallelized),1.4591152667999268,0.0005756514746731514
30,Sequence-form,Ours (unparallelized),2.9064698219299316,0.0003220485331910522
31,Sequence-form,Ours (unparallelized),5.816510438919067,0.00013490398662468345
32,Sequence-form,Ours (unparallelized),11.647138595581055,9.279956459110061e-05
33,Sequence-form,Ours (unparallelized),23.158496141433716,4.97842074259347e-05
34,Sequence-form,Ours (unparallelized),46.138293504714966,2.5459059433102782e-05
35,Sequence-form,Ours (unparallelized),91.70063066482544,1.2697970904855527e-05
36,Sequence-form,Ours (unparallelized),181.62374114990234,9.158838431201632e-06
37,Sequence-form,Ours (unparallelized),359.38697361946106,4.873673635219511e-06
38,Sequence-form,Ours (unparallelized),734.8755831718445,2.952821250609694e-06
39,Sequence-form,Ours (unparallelized),1000.0000088214874,2.297927751346296e-06
40,Classical,OpenSpiel (C++),0.0028433799743652344,0.45833333333333326
41,Classical,OpenSpiel (C++),0.0029659271240234375,0.27083333333333337
42,Classical,OpenSpiel (C++),0.003050088882446289,0.14062500000000003
43,Classical,OpenSpiel (C++),0.003202676773071289,0.09045463963098324
44,Classical,OpenSpiel (C++),0.003507375717163086,0.050511690558091016
45,Classical,OpenSpiel (C++),0.004212856292724609,0.024046802161084208
46,Classical,OpenSpiel (C++),0.005434274673461914,0.014350716500796917
47,Classical,OpenSpiel (C++),0.00784158706665039,0.006519359677160191
48,Classical,OpenSpiel (C++),0.012604713439941406,0.0038495189232113924
49,Classical,OpenSpiel (C++),0.022050142288208008,0.0017836032669532598
50,Classical,OpenSpiel (C++),0.04087042808532715,0.000609695182788611
51,Classical,OpenSpiel (C++),0.07865500450134277,0.0005756514746741159
52,Classical,OpenSpiel (C++),0.1549699306488037,0.00032204853320083604
53,Classical,OpenSpiel (C++),0.30688977241516113,0.00013490398663681957
54,Classical,OpenSpiel (C++),0.6130738258361816,9.279956460275796e-05
55,Classical,OpenSpiel (C++),1.2264444828033447,4.9784207430986216e-05
56,Classical,OpenSpiel (C++),2.4825282096862793,2.5459059439902898e-05
57,Classical,OpenSpiel (C++),4.971380233764648,1.2697970903696731e-05
58,Classical,OpenSpiel (C++),10.006974935531616,9.158838440603834e-06
59,Classical,OpenSpiel (C++),20.022007942199707,4.873673617844521e-06
60,Classical,OpenSpiel (C++),40.023106813430786,2.952821260948646e-06
61,Classical,OpenSpiel (C++),80.04884600639343,1.8492819405802052e-06
62,Classical,OpenSpiel (C++),159.06115007400513,9.76416751702347e-07
63,Classical,OpenSpiel (C++),317.740216255188,6.11993567933844e-07
64,Classical,OpenSpiel (C++),651.6219022274017,3.5202584974802775e-07
65,Classical,OpenSpiel (C++),1000.000009059906,2.6881937831291225e-07
