,Game size (# nodes),Implementation,Solver,Iteration time (s),Iteration time standard error (s),CUDA memory usage (bytes),Memory usage (bytes)
0,58,Sequence-form,Ours (parallelized),0.012566787369053721,3.4508894776641227e-06,50176,417779712
1,9457,Sequence-form,Ours (parallelized),0.021655759386782776,3.266586282662628e-06,791552,420724736
2,294883,Sequence-form,Ours (parallelized),0.03344508283344277,6.0192755321934495e-06,17204736,512876544
3,58709,Sequence-form,Ours (parallelized),0.020820123837857342,2.4509274399549405e-06,12761600,466550784
4,2271795,Sequence-form,Ours (parallelized),0.021150029310889492,2.702325242986052e-06,295461888,2959958016
5,14811409,Sequence-form,Ours (parallelized),0.018288193933467707,5.010232434470629e-06,306384896,11838812160
6,52081183,Sequence-form,Ours (parallelized),0.020024098049119192,2.139322898951336e-06,755478016,37977911296
7,58,Sequence-form,Ours (unparallelized),0.000707203562596689,4.5693783584832217e-08,0,10302361600
8,9457,Sequence-form,Ours (unparallelized),0.04868829919320015,1.4167838630126465e-05,0,10658369536
9,294883,Sequence-form,Ours (unparallelized),1.20218474464491,0.0017848492922370547,0,14050127872
10,58709,Sequence-form,Ours (unparallelized),0.5722606614718249,0.000640383745002975,0,11244867584
11,2271795,Sequence-form,Ours (unparallelized),10.933234297710916,0.02885090170323975,0,11390181376
12,14811409,Sequence-form,Ours (unparallelized),6.917749876811587,0.0043736191969210615,0,11839434752
13,52081183,Sequence-form,Ours (unparallelized),17.346533812325575,0.07053146646702277,0,37979574272
14,58,Classical,OpenSpiel (C++),3.91509638018408e-05,7.806282397209293e-10,0,3390164992
15,9457,Classical,OpenSpiel (C++),0.013430608708206336,1.8944357970035634e-06,0,208138240
16,294883,Classical,OpenSpiel (C++),0.06087054600814373,8.102906181691316e-05,0,667570176
17,58709,Classical,OpenSpiel (C++),0.16843660031206845,6.625121209284317e-05,0,314966016
18,2271795,Classical,OpenSpiel (C++),5.378962095065783,0.02218019105823541,0,4344455168
19,14811409,Classical,OpenSpiel (C++),22.80301195924932,0.22618450044201596,0,20215095296
20,52081183,Classical,OpenSpiel (C++),89.59779914220174,4.736624073911478,0,82026827776
21,58,Classical,OpenSpiel (Python),0.001041063014349772,3.494928494617068e-08,0,323371008
22,9457,Classical,OpenSpiel (Python),0.15385112943677173,7.980779874431409e-05,0,219435008
23,294883,Classical,OpenSpiel (Python),1.5304693580586548,0.010933108510547122,0,1082580992
24,58709,Classical,OpenSpiel (Python),1.0251680780068422,0.0011075758075615757,0,482545664
25,2271795,Classical,OpenSpiel (Python),32.06367598810503,0.7401779493580235,0,6540156928
26,14811409,Classical,OpenSpiel (Python),181.08689978718758,10.083298589380911,0,21723811840
27,52081183,Classical,OpenSpiel (Python),590.4451487660408,46.582065710636265,0,85186527232
